"INICIO_SINTOMAS","TERRITORIO","CASOS"
2020-02-15,"cs_abraao",4
2020-02-15,"cs_trindade",1
2020-02-16,"cs_rio_tavares",1
2020-02-26,"cs_campeche",4
2020-02-26,"cs_saco_dos_limoes",4
2020-02-27,"cs_jurere",1
2020-02-29,"cs_centro",4
2020-02-29,"cs_coqueiros",4
2020-02-29,"cs_morro_das_pedras",4
2020-03-01,"cs_centro",4
2020-03-01,"cs_estreito",4
2020-03-01,"cs_lagoa_da_conceicao",1
2020-03-01,"cs_novo_continente",4
2020-03-01,"cs_rio_vermelho",4
2020-03-01,"cs_santo_antonio_de_lisboa",4
2020-03-01,"cs_trindade",8
2020-03-02,"cs_centro",1
2020-03-02,"cs_coqueiros",4
2020-03-03,"cs_carianos",4
2020-03-03,"cs_centro",4
2020-03-03,"cs_pantano_do_sul",4
2020-03-04,"cs_agronomica",4
2020-03-04,"cs_coqueiros",4
2020-03-04,"cs_rio_tavares",4
2020-03-04,"cs_rio_vermelho",4
2020-03-05,"cs_balneario",4
2020-03-05,"cs_ingleses",4
2020-03-06,"cs_saco_grande",4
2020-03-07,"cs_barra_da_lagoa",4
2020-03-07,"cs_centro",4
2020-03-07,"cs_corrego_grande",1
2020-03-07,"cs_lagoa_da_conceicao",4
2020-03-07,"cs_monte_cristo",1
2020-03-08,"cs_agronomica",4
2020-03-08,"cs_coqueiros",4
2020-03-08,"cs_corrego_grande",4
2020-03-08,"cs_itacorubi",8
2020-03-08,"cs_jurere",4
2020-03-08,"cs_novo_continente",1
2020-03-09,"cs_agronomica",8
2020-03-09,"cs_carianos",4
2020-03-09,"cs_coqueiros",4
2020-03-09,"cs_fazenda_do_rio_tavares",4
2020-03-09,"cs_monte_serrat",4
2020-03-10,"cs_abraao",4
2020-03-10,"cs_armacao",4
2020-03-10,"cs_balneario",4
2020-03-10,"cs_centro",1
2020-03-10,"cs_coqueiros",4
2020-03-10,"cs_jurere",4
2020-03-10,"cs_pantanal",1
2020-03-10,"cs_prainha",0
2020-03-10,"cs_ratones",4
2020-03-10,"cs_santinho",4
2020-03-10,"cs_santo_antonio_de_lisboa",1
2020-03-10,"cs_trindade",4
2020-03-11,"cs_agronomica",4
2020-03-11,"cs_corrego_grande",4
2020-03-11,"cs_jurere",4
2020-03-11,"cs_rio_vermelho",4
2020-03-12,"cs_agronomica",4
2020-03-12,"cs_campeche",4
2020-03-12,"cs_carianos",4
2020-03-12,"cs_corrego_grande",4
2020-03-12,"cs_itacorubi",8
2020-03-13,"cs_agronomica",4
2020-03-13,"cs_centro",12
2020-03-13,"cs_coqueiros",4
2020-03-13,"cs_corrego_grande",8
2020-03-13,"cs_estreito",1
2020-03-13,"cs_ingleses",4
2020-03-13,"cs_itacorubi",8
2020-03-13,"cs_joao_paulo",8
2020-03-13,"cs_ponta_das_canas",4
2020-03-13,"cs_rio_tavares",4
2020-03-13,"cs_santo_antonio_de_lisboa",8
2020-03-14,"cs_agronomica",10
2020-03-14,"cs_armacao",4
2020-03-14,"cs_campeche",4
2020-03-14,"cs_canasvieiras",4
2020-03-14,"cs_carianos",4
2020-03-14,"cs_centro",8
2020-03-14,"cs_corrego_grande",4
2020-03-14,"cs_costa_da_lagoa",1
2020-03-14,"cs_costeira_do_pirajubae",4
2020-03-14,"cs_estreito",4
2020-03-14,"cs_ingleses",4
2020-03-14,"cs_itacorubi",4
2020-03-14,"cs_lagoa_da_conceicao",4
2020-03-14,"cs_saco_dos_limoes",4
2020-03-14,"cs_saco_grande",4
2020-03-14,"cs_trindade",4
2020-03-15,"cs_abraao",4
2020-03-15,"cs_agronomica",4
2020-03-15,"cs_balneario",4
2020-03-15,"cs_caieira_da_barra_do_sul",4
2020-03-15,"cs_centro",28
2020-03-15,"cs_coqueiros",4
2020-03-15,"cs_corrego_grande",12
2020-03-15,"cs_costeira_do_pirajubae",8
2020-03-15,"cs_itacorubi",4
2020-03-15,"cs_joao_paulo",8
2020-03-15,"cs_monte_cristo",4
2020-03-15,"cs_monte_serrat",4
2020-03-15,"cs_novo_continente",4
2020-03-15,"cs_ribeirao_da_ilha",4
2020-03-15,"cs_rio_tavares",12
2020-03-15,"cs_saco_dos_limoes",4
2020-03-15,"cs_saco_grande",12
2020-03-15,"cs_santo_antonio_de_lisboa",4
2020-03-15,"cs_trindade",8
2020-03-15,"cs_vargem_pequena",4
2020-03-16,"cs_agronomica",24
2020-03-16,"cs_balneario",4
2020-03-16,"cs_barra_da_lagoa",8
