"DATA","MEDIANA_CASOS"
2020-02-01,1
2020-02-02,1
2020-02-03,1
2020-02-04,1
2020-02-05,1
2020-02-06,1
2020-02-07,1
2020-02-08,1
2020-02-09,1
2020-02-10,1
2020-02-11,1
2020-02-12,1
2020-02-13,1
2020-02-14,1
2020-02-15,2
2020-02-16,1
2020-02-17,1
2020-02-18,1
2020-02-19,1
2020-02-20,1
2020-02-21,1
2020-02-22,1
2020-02-23,1
2020-02-24,1
2020-02-25,1
2020-02-26,2
2020-02-27,1
2020-02-28,1
2020-02-29,3
2020-03-01,8
2020-03-02,2
2020-03-03,3
2020-03-04,4
2020-03-05,2
2020-03-06,1
2020-03-07,5
2020-03-08,7
2020-03-09,7
2020-03-10,10
2020-03-11,4
2020-03-12,6
2020-03-13,17
2020-03-14,20
2020-03-15,36
2020-03-16,35
2020-03-17,30
2020-03-18,22
2020-03-19,22
2020-03-20,36
2020-03-21,12
2020-03-22,20
2020-03-23,15
2020-03-24,11
2020-03-25,14
2020-03-26,18
2020-03-27,22
2020-03-28,20
2020-03-29,14
2020-03-30,12
2020-03-31,7
2020-04-01,22
2020-04-02,10
2020-04-03,6
2020-04-04,15
2020-04-05,10
2020-04-06,12
2020-04-07,9
2020-04-08,13
2020-04-09,3
2020-04-10,16
2020-04-11,10
2020-04-12,6
2020-04-13,10
2020-04-14,6
2020-04-15,10
2020-04-16,10
2020-04-17,6
2020-04-18,12
2020-04-19,8
2020-04-20,20
2020-04-21,14
2020-04-22,11
2020-04-23,11
2020-04-24,6
2020-04-25,8
2020-04-26,6
2020-04-27,8
2020-04-28,10
2020-04-29,3
2020-04-30,4
2020-05-01,11
2020-05-02,1
2020-05-03,4
2020-05-04,10
2020-05-05,21
2020-05-06,10
2020-05-07,4
2020-05-08,14
2020-05-09,4
2020-05-10,4
2020-05-11,6
2020-05-12,15
2020-05-13,22
2020-05-14,13
2020-05-15,16
2020-05-16,6
2020-05-17,6
2020-05-18,16
2020-05-19,20
2020-05-20,19
2020-05-21,14
2020-05-22,14
2020-05-23,10
2020-05-24,16
2020-05-25,20
2020-05-26,21
2020-05-27,24
2020-05-28,30
2020-05-29,20
2020-05-30,20
2020-05-31,22
2020-06-01,36
2020-06-02,36
2020-06-03,43
2020-06-04,52
2020-06-05,68
2020-06-06,39
2020-06-07,26
2020-06-08,55
2020-06-09,51
2020-06-10,56
2020-06-11,26
2020-06-12,66
2020-06-13,36
2020-06-14,56
2020-06-15,80
2020-06-16,98
2020-06-17,84
2020-06-18,84
2020-06-19,116
2020-06-20,120
2020-06-21,108
2020-06-22,149
2020-06-23,116
2020-06-24,140
2020-06-25,126
2020-06-26,126
2020-06-27,110
2020-06-28,98
2020-06-29,158
2020-06-30,148
2020-07-01,189
2020-07-02,144
2020-07-03,192
2020-07-04,136
2020-07-05,172
2020-07-06,294
2020-07-07,258
2020-07-08,244
2020-07-09,223
2020-07-10,296
2020-07-11,203
2020-07-12,194
2020-07-13,344
2020-07-14,298
2020-07-15,283
2020-07-16,248
2020-07-17,290
2020-07-18,267
2020-07-19,224
2020-07-20,406
2020-07-21,311
2020-07-22,242
2020-07-23,227
2020-07-24,260
2020-07-25,190
2020-07-26,150
2020-07-27,236
2020-07-28,192
2020-07-29,155
2020-07-30,210
2020-07-31,220
2020-08-01,220
2020-08-02,126
2020-08-03,187
2020-08-04,192
2020-08-05,170
2020-08-06,142
2020-08-07,148
2020-08-08,134
2020-08-09,112
2020-08-10,192
2020-08-11,154
2020-08-12,128
2020-08-13,104
2020-08-14,90
2020-08-15,106
2020-08-16,52
2020-08-17,106
2020-08-18,122
2020-08-19,56
2020-08-20,86
2020-08-21,106
2020-08-22,56
2020-08-23,74
2020-08-24,100
2020-08-25,73
2020-08-26,140
2020-08-27,124
2020-08-28,100
2020-08-29,121
2020-08-30,121
2020-08-31,122
2020-09-01,109
2020-09-02,124
2020-09-03,122
2020-09-04,114
2020-09-05,124
2020-09-06,116
2020-09-07,125
2020-09-08,116
2020-09-09,122
2020-09-10,123
2020-09-11,117
2020-09-12,125
2020-09-13,117
2020-09-14,125
2020-09-15,119
