"INICIO_SINTOMAS","DADOS","MEDIANA_CASOS","II_025","II_975"
2020-02-15,"Nowcasted",1,1,1
2020-02-16,"Nowcasted",1,1,1
2020-02-19,"Nowcasted",1,1,1
2020-02-26,"Measured",2,2,2
2020-02-26,"Nowcasted",2,2,2
2020-02-29,"Measured",3,3,3
2020-02-29,"Nowcasted",3,3,3
2020-03-01,"Measured",6,6,6
2020-03-01,"Nowcasted",7,7,7
2020-03-02,"Measured",1,1,1
2020-03-02,"Nowcasted",1,1,1
2020-03-03,"Measured",2,2,2
2020-03-03,"Nowcasted",2,2,2
2020-03-04,"Measured",4,4,4
2020-03-04,"Nowcasted",4,4,4
2020-03-05,"Measured",1,1,1
2020-03-05,"Nowcasted",1,1,1
2020-03-06,"Measured",1,1,1
2020-03-06,"Nowcasted",1,1,1
2020-03-07,"Measured",3,3,3
2020-03-07,"Nowcasted",4,4,4
2020-03-08,"Measured",6,6,6
2020-03-08,"Nowcasted",6,6,6
2020-03-09,"Measured",7,7,7
2020-03-09,"Nowcasted",7,7,7
2020-03-10,"Measured",7,7,7
2020-03-10,"Nowcasted",8.5,8.025,8.975
2020-03-11,"Measured",3,3,3
2020-03-11,"Nowcasted",3,3,3
2020-03-12,"Measured",6,6,6
2020-03-12,"Nowcasted",6,6,6
2020-03-13,"Measured",16,16,16
2020-03-13,"Nowcasted",17,17,17
2020-03-14,"Measured",16,16,16
2020-03-14,"Nowcasted",21.5,21.025,21.975
2020-03-15,"Measured",33,33,33
2020-03-15,"Nowcasted",34.5,34.025,34.975
2020-03-16,"Measured",34,34,34
2020-03-16,"Nowcasted",36,36,36
2020-03-17,"Measured",28,28,28
2020-03-17,"Nowcasted",29,29,29
2020-03-18,"Measured",19,19,19
2020-03-18,"Nowcasted",24.5,23.075,25.925
2020-03-19,"Measured",22,22,22
2020-03-19,"Nowcasted",23.5,23.025,23.975
2020-03-20,"Measured",34,34,34
2020-03-20,"Nowcasted",36.5,36.025,36.975
2020-03-21,"Measured",10,10,10
2020-03-21,"Nowcasted",12,12,12
2020-03-22,"Measured",18,18,18
2020-03-22,"Nowcasted",19,18.05,19.95
2020-03-23,"Measured",15,15,15
2020-03-23,"Nowcasted",17.5,15.125,19.875
2020-03-24,"Measured",11,11,11
2020-03-24,"Nowcasted",12.5,12.025,12.975
2020-03-25,"Measured",14,14,14
2020-03-25,"Nowcasted",15,14.05,15.95
2020-03-26,"Measured",16,16,16
2020-03-26,"Nowcasted",18.5,18.025,18.975
2020-03-27,"Measured",20,20,20
2020-03-27,"Nowcasted",21,21,21
2020-03-28,"Measured",16,16,16
2020-03-28,"Nowcasted",19,18.05,19.95
