"DATA","SUSCETIVEIS_CENARIO_3","CUM_RECUPERADOS_CENARIO_3","EXPOSTOS_CENARIO_3","INFECTANTES_CENARIO_3","CUM_OBITOS_CENARIO_3","LEITOS_UTI_CENARIO_3","SUSCETIVEIS_CENARIO_1","CUM_RECUPERADOS_CENARIO_1","EXPOSTOS_CENARIO_1","INFECTANTES_CENARIO_1","CUM_OBITOS_CENARIO_1","LEITOS_UTI_CENARIO_1","SUSCETIVEIS_CENARIO_2","CUM_RECUPERADOS_CENARIO_2","EXPOSTOS_CENARIO_2","INFECTANTES_CENARIO_2","CUM_OBITOS_CENARIO_2","LEITOS_UTI_CENARIO_2"
2020-02-21,500920,0,13,40,0,0,500920,0,13,40,0,0,500920,0,13,40,0,0
2020-02-22,500913,1,14,45,0,0,500913,1,14,45,0,0,500913,1,14,45,0,0
2020-02-23,500907,2,14,50,0,0,500907,2,14,50,0,0,500907,2,14,50,0,0
2020-02-24,500899,4,15,55,0,0,500899,4,15,55,0,0,500899,4,15,55,0,0
2020-02-25,500892,6,16,59,0,0,500892,6,16,59,0,0,500892,6,16,59,0,0
2020-02-26,500884,9,16,64,0,0,500884,9,16,64,0,0,500884,9,16,64,0,0
2020-02-27,500877,12,16,68,0,0,500877,12,16,68,0,0,500877,12,16,68,0,0
2020-02-28,500868,16,17,72,0,0,500868,16,17,72,0,0,500868,16,17,72,0,0
2020-02-29,500860,20,18,75,0,0,500860,20,18,75,0,0,500860,20,18,75,0,0
2020-03-01,500851,25,18,79,0,0,500851,25,18,79,0,0,500851,25,18,79,0,0
2020-03-02,500841,30,19,83,0,0,500841,30,19,83,0,0,500841,30,19,83,0,0
2020-03-03,500832,35,20,86,0,0,500832,35,20,86,0,0,500832,35,20,86,0,0
2020-03-04,500822,41,20,90,0,0,500822,41,20,90,0,0,500822,41,20,90,0,0
2020-03-05,500813,47,20,93,0,0,500813,47,20,93,0,0,500813,47,20,93,0,0
2020-03-06,500802,54,21,96,0,0,500802,54,21,96,0,0,500802,54,21,96,0,0
2020-03-07,500791,61,22,99,0,0,500791,61,22,99,0,0,500791,61,22,99,0,0
2020-03-08,500781,68,22,102,0,0,500781,68,22,102,0,0,500781,68,22,102,0,0
2020-03-09,500770,76,22,105,0,0,500770,76,22,105,0,0,500770,76,22,105,0,0
2020-03-10,500759,84,22,108,0,0,500759,84,22,108,0,0,500759,84,22,108,0,0
2020-03-11,500747,92,23,111,0,0,500747,92,23,111,0,0,500747,92,23,111,0,0
2020-03-12,500736,100,24,113,0,0,500736,100,24,113,0,0,500736,100,24,113,0,0
2020-03-13,500724,109,24,116,0,0,500724,109,24,116,0,0,500724,109,24,116,0,0
2020-03-14,500712,118,24,119,0,0,500712,118,24,119,0,0,500712,118,24,119,0,0
2020-03-15,500701,127,24,121,0,1,500701,127,24,121,0,1,500701,127,24,121,0,1
2020-03-16,500689,137,24,123,0,1,500689,137,24,123,0,1,500689,137,24,123,0,1
2020-03-17,500677,147,24,125,0,1,500677,147,24,125,0,1,500677,147,24,125,0,1
