"DATA","SUSCETIVEIS_CENARIO_3","CUM_RECUPERADOS_CENARIO_3","EXPOSTOS_CENARIO_3","INFECTANTES_CENARIO_3","CUM_OBITOS_CENARIO_3","SUSCETIVEIS_CENARIO_1","CUM_RECUPERADOS_CENARIO_1","EXPOSTOS_CENARIO_1","INFECTANTES_CENARIO_1","CUM_OBITOS_CENARIO_1","SUSCETIVEIS_CENARIO_2","CUM_RECUPERADOS_CENARIO_2","EXPOSTOS_CENARIO_2","INFECTANTES_CENARIO_2","CUM_OBITOS_CENARIO_2"
2020-02-01,500973,0,0,0,0,500973,0,0,0,0,500973,0,0,0,0
2020-02-02,500973,0,0,0,0,500973,0,0,0,0,500973,0,0,0,0
2020-02-03,500970,0,3,0,0,500970,0,3,0,0,500970,0,3,0,0
2020-02-04,500970,0,3,0,0,500970,0,3,0,0,500970,0,3,0,0
2020-02-05,500970,0,3,0,0,500970,0,3,0,0,500970,0,3,0,0
2020-02-06,500970,0,3,0,0,500970,0,3,0,0,500970,0,3,0,0
2020-02-07,500970,0,3,0,0,500970,0,3,0,0,500970,0,3,0,0
2020-02-08,500970,0,3,0,0,500970,0,3,0,0,500970,0,3,0,0
2020-02-09,500970,0,3,0,0,500970,0,3,0,0,500970,0,3,0,0
2020-02-10,500970,0,3,0,0,500970,0,3,0,0,500970,0,3,0,0
2020-02-11,500969,1,3,0,0,500969,1,3,0,0,500969,1,3,0,0
2020-02-12,500968,2,3,0,0,500968,2,3,0,0,500968,2,3,0,0
2020-02-13,500954,3,3,13,0,500954,3,3,13,0,500954,3,3,13,0
2020-02-14,500953,4,3,13,0,500953,4,3,13,0,500953,4,3,13,0
2020-02-15,500950,5,4,14,0,500950,5,4,14,0,500950,5,4,14,0
2020-02-16,500949,6,4,14,0,500949,6,4,14,0,500949,6,4,14,0
2020-02-17,500948,7,4,14,0,500948,7,4,14,0,500948,7,4,14,0
2020-02-18,500948,8,3,14,0,500948,8,3,14,0,500948,8,3,14,0
2020-02-19,500947,9,3,14,0,500947,9,3,14,0,500947,9,3,14,0
2020-02-20,500946,10,3,14,0,500946,10,3,14,0,500946,10,3,14,0
2020-02-21,500945,11,3,14,0,500945,11,3,14,0,500945,11,3,14,0
2020-02-22,500944,12,3,14,0,500944,12,3,14,0,500944,12,3,14,0
2020-02-23,500943,13,3,14,0,500943,13,3,14,0,500943,13,3,14,0
2020-02-24,500942,14,3,14,0,500942,14,3,14,0,500942,14,3,14,0
2020-02-25,500940,16,3,14,0,500940,16,3,14,0,500940,16,3,14,0
